,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
10116,Brazil,Ceara Mirim,34,Good,0,0,19,0,1,0,34,Good
10117,United States of America,Cedarburg,49,Good,2,1,16,0,14,2,49,Good
10118,Turkey,Cerkezkoy,43,Good,1,0,43,3,0,0,26,Good
10119,United Republic of Tanzania,Chake Chake,52,Moderate,1,0,25,1,0,0,52,Moderate
10120,India,Chakradharpur,167,Unhealthy,1,0,93,3,0,0,167,Unhealthy
10121,Philippines,Codcod,58,Moderate,1,0,23,1,0,0,58,Moderate
10122,United States of America,College Park,98,Moderate,3,1,0,0,28,2,98,Moderate
10123,Brazil,Colonia Leopoldina,40,Good,1,0,13,0,2,1,40,Good
10124,Spain,Conil,42,Good,1,0,26,1,7,2,42,Good
10125,Mexico,Constitucion,35,Good,0,0,35,2,0,0,5,Good
10126,United States of America,Corinth,58,Moderate,1,0,20,0,6,2,58,Moderate
10127,Benin,Cotonou,71,Moderate,1,0,24,1,0,0,71,Moderate
10128,France,Courbevoie,51,Moderate,1,0,20,0,5,2,51,Moderate
10129,South Africa,Cradock,43,Good,1,0,23,1,0,0,43,Good
10130,United Kingdom of Great Britain and Northern Ireland,Crawley,32,Good,0,0,28,1,3,1,32,Good
10131,Turkey,Cubuk,42,Good,1,0,42,3,0,0,34,Good
10132,Rwanda,Cyangugu,56,Moderate,2,1,24,1,0,0,56,Moderate
10133,Brazil,Abaete,39,Good,1,0,2,0,3,1,39,Good
10134,Ethiopia,Abiy Adi,106,Unhealthy for Sensitive Groups,1,0,25,1,0,0,106,Unhealthy for Sensitive Groups
10135,Benin,Abomey,80,Moderate,1,0,21,0,1,0,80,Moderate
10136,France,Agen,46,Good,1,0,37,2,1,0,46,Good
10137,Greece,Akharnai,66,Moderate,1,0,44,3,3,1,66,Moderate
10138,Turkey,Alanya,42,Good,1,0,42,3,0,0,22,Good
10139,Ukraine,Aleksandriya,69,Moderate,1,0,40,2,0,0,69,Moderate
10140,Russian Federation,Aleysk,35,Good,1,0,35,2,0,0,27,Good
10142,Brazil,Alvinopolis,63,Moderate,2,1,2,0,4,1,63,Moderate
10143,Pakistan,Amangarh,198,Unhealthy,3,1,198,3,2,1,98,Moderate
10144,Mexico,Amecameca,137,Unhealthy for Sensitive Groups,2,1,3,0,14,2,137,Unhealthy for Sensitive Groups
10145,Russian Federation,Amursk,47,Good,1,0,33,2,0,0,47,Good
10146,Russian Federation,Anastasiyevskaya,47,Good,1,0,47,3,1,0,20,Good
10147,India,Anjar,172,Unhealthy,0,0,29,1,0,0,172,Unhealthy
10148,Madagascar,Ankazobe,21,Good,0,0,21,0,0,0,14,Good
10149,United States of America,Annapolis,61,Moderate,1,0,41,3,5,2,61,Moderate
10150,Guatemala,Antigua Guatemala,125,Unhealthy for Sensitive Groups,4,1,3,0,13,2,125,Unhealthy for Sensitive Groups
10151,India,Anuppur,158,Unhealthy,1,0,42,3,0,0,158,Unhealthy
10152,Italy,Appiano,30,Good,0,0,30,1,1,0,12,Good
10153,Brazil,Arapongas,37,Good,1,0,14,0,2,1,37,Good
10154,Philippines,Aringay,59,Moderate,1,0,24,1,1,0,59,Moderate
10155,Iran (Islamic Republic of),Bam,178,Unhealthy,1,0,42,3,0,0,178,Unhealthy
10156,India,Banganapalle,83,Moderate,0,0,30,1,0,0,83,Moderate
10157,Thailand,Bangkok,69,Moderate,1,0,25,1,1,0,69,Moderate
10158,United States of America,Belmont,54,Moderate,1,0,24,1,9,2,54,Moderate
10159,China,Bengbu,174,Unhealthy,4,1,174,3,5,2,141,Unhealthy for Sensitive Groups
10160,Indonesia,Bengkalis,38,Good,1,0,19,0,0,0,38,Good
10161,Belgium,Beringen,46,Good,1,0,26,1,5,2,46,Good
10162,Madagascar,Beroroha,22,Good,0,0,22,1,0,0,8,Good
10163,India,Bhind,193,Unhealthy,1,0,46,3,0,0,193,Unhealthy
10164,Poland,Bierun,52,Moderate,1,0,26,1,3,1,52,Moderate
10165,China,Bijie,81,Moderate,2,1,26,1,6,2,81,Moderate
10166,Germany,Billerbeck,33,Good,1,0,33,2,2,1,26,Good
10167,United States of America,Billings,40,Good,1,0,24,1,4,1,40,Good
10169,United States of America,Binghamton,40,Good,1,0,40,2,1,0,34,Good
10170,India,Binika,164,Unhealthy,1,0,66,3,0,0,164,Unhealthy
10171,Nepal,Birganj,231,Very Unhealthy,3,1,147,3,1,0,231,Very Unhealthy
10172,United Kingdom of Great Britain and Northern Ireland,Cheltenham,47,Good,0,0,32,2,1,0,47,Good
10173,Mexico,Chiapa,79,Moderate,3,1,7,0,8,2,79,Moderate
10174,Italy,Chieri,60,Moderate,1,0,33,2,4,1,60,Moderate
10175,Colombia,Chigorodo,35,Good,1,0,7,0,0,0,35,Good
10176,Panama,Chilibre,82,Moderate,2,1,18,0,8,2,82,Moderate
10177,India,Chinna Salem,81,Moderate,1,0,43,3,2,1,81,Moderate
10178,China,Chizhou,201,Very Unhealthy,5,1,201,3,5,2,159,Unhealthy
10179,United Kingdom of Great Britain and Northern Ireland,Chorley,63,Moderate,0,0,32,2,1,0,63,Moderate
10180,Thailand,Chumphon,41,Good,0,0,15,0,0,0,41,Good
10181,China,Chutung,64,Moderate,1,0,49,3,3,1,64,Moderate
10182,Indonesia,Cidahu,112,Unhealthy for Sensitive Groups,2,1,88,3,1,0,112,Unhealthy for Sensitive Groups
10183,Italy,Cisterna,49,Good,1,0,49,3,1,0,20,Good
10184,India,Asifabad,151,Unhealthy,1,0,40,2,0,0,151,Unhealthy
10185,United States of America,Atascocita,53,Moderate,1,0,11,0,13,2,53,Moderate
10186,United States of America,Aurora,78,Moderate,2,1,7,0,14,2,78,Moderate
10187,Spain,Azpeitia,33,Good,0,0,33,2,0,0,20,Good
10188,Cameroon,Bafang,75,Moderate,3,1,15,0,1,0,75,Moderate
10189,United States of America,Baldwin,55,Moderate,2,1,28,1,12,2,55,Moderate
10190,Ukraine,Bar,64,Moderate,1,0,42,3,0,0,64,Moderate
10191,Italy,Barletta,48,Good,1,0,48,3,1,0,35,Good
10192,United States of America,Batavia,78,Moderate,3,1,3,0,25,2,78,Moderate
10193,Sri Lanka,Batticaloa,54,Moderate,1,0,40,2,0,0,54,Moderate
10194,Cuba,Bauta,65,Moderate,1,0,23,1,2,1,65,Moderate
10195,Madagascar,Bealanana,22,Good,0,0,22,1,0,0,7,Good
10196,Thailand,Phra Phutthabat,112,Unhealthy for Sensitive Groups,2,1,18,0,7,2,112,Unhealthy for Sensitive Groups
10197,France,Pierrefitte Sur Seine,67,Moderate,1,0,46,3,1,0,67,Moderate
10198,Philippines,Pila,89,Moderate,2,1,26,1,7,2,89,Moderate
10199,Germany,Pocking,74,Moderate,1,0,61,3,0,0,74,Moderate
10200,Brazil,Pocone,44,Good,1,0,8,0,0,0,44,Good
10201,Italy,Pomezia,78,Moderate,1,0,78,3,0,0,28,Good
10202,United States of America,Ponca City,50,Good,1,0,47,3,0,0,50,Good
10203,Romania,Popesti Leordeni,59,Moderate,1,0,52,3,0,0,59,Moderate
10204,United States of America,Poquoson,47,Good,1,0,47,3,1,0,47,Good
10205,Papua New Guinea,Port Moresby,23,Good,0,0,20,0,1,0,23,Good
10206,Brazil,Porto Nacional,18,Good,0,0,16,0,0,0,18,Good
10207,Russian Federation,Pravdinskiy,32,Good,1,0,32,2,6,2,30,Good
10208,Republic of North Macedonia,Prilep,123,Unhealthy for Sensitive Groups,1,0,39,2,0,0,123,Unhealthy for Sensitive Groups
10209,Argentina,Puerto Madryn,11,Good,0,0,11,0,0,0,7,Good
10211,Azerbaijan,Qazax,70,Moderate,1,0,34,2,0,0,70,Moderate
10212,Brazil,Quata,46,Good,1,0,20,0,0,0,46,Good
10213,Cuba,Quemado De Guines,35,Good,1,0,35,2,0,0,24,Good
10214,Pakistan,Rajanpur,175,Unhealthy,1,0,40,2,3,1,175,Unhealthy
10215,Israel,Ramat Gan,70,Moderate,1,0,45,3,5,2,70,Moderate
10216,United States of America,Scarsdale,53,Moderate,1,0,46,3,2,1,53,Moderate
10217,Germany,Scharbeutz,43,Good,1,0,43,3,0,0,26,Good
10218,France,Seyssinet Pariset,34,Good,1,0,34,2,1,0,33,Good
10219,India,Shahapur,171,Unhealthy,5,1,12,0,13,2,171,Unhealthy
10220,Pakistan,Sharqpur,179,Unhealthy,5,1,74,3,9,2,179,Unhealthy
10221,Belgium,Ronse,51,Moderate,1,0,38,2,1,0,51,Moderate
10223,United States of America,Roseville,51,Moderate,1,0,32,2,1,0,51,Moderate
10224,France,Rouen,57,Moderate,1,0,44,3,0,0,57,Moderate
10225,United States of America,Roy,51,Moderate,1,0,24,1,6,2,51,Moderate
10226,Costa Rica,Sabanilla,42,Good,1,0,21,0,2,1,42,Good
10227,Mexico,Sabinas Hidalgo,54,Moderate,1,0,25,1,0,0,54,Moderate
10228,Slovakia,Sabinov,69,Moderate,1,0,46,3,0,0,69,Moderate
10229,Saudi Arabia,Sabya,170,Unhealthy,4,1,138,3,3,1,170,Unhealthy
10230,Egypt,Safaga,71,Moderate,1,0,71,3,0,0,68,Moderate
10231,United States of America,Saint Augustine,82,Moderate,2,1,82,3,2,1,34,Good
10232,Japan,Saitama,87,Moderate,2,1,23,1,22,2,87,Moderate
10233,Italy,Sala Consilina,49,Good,1,0,49,3,0,0,41,Good
10234,India,Samalkha,189,Unhealthy,7,1,29,1,25,2,189,Unhealthy
10235,Ecuador,Samborondon,57,Moderate,1,0,25,1,2,1,57,Moderate
10236,Colombia,San Benito Abad,60,Moderate,1,0,18,0,0,0,60,Moderate
10237,United States of America,San Gabriel,112,Unhealthy for Sensitive Groups,3,1,20,0,24,2,112,Unhealthy for Sensitive Groups
10238,Colombia,San Gil,65,Moderate,1,0,26,1,0,0,65,Moderate
10239,Dominican Republic,San Ignacio De Sabaneta,106,Unhealthy for Sensitive Groups,1,0,48,3,0,0,106,Unhealthy for Sensitive Groups
10240,Guatemala,San Miguel Chicaj,52,Moderate,1,0,16,0,2,1,52,Moderate
10241,Colombia,San Vicente De Chucuri,90,Moderate,1,0,34,2,0,0,90,Moderate
10242,Philippines,Santa Ana,150,Unhealthy,2,1,25,1,8,2,150,Unhealthy
10243,Cuba,Santa Cruz Del Norte,39,Good,0,0,39,2,0,0,38,Good
10244,Cuba,Santa Cruz Del Sur,77,Moderate,1,0,28,1,0,0,77,Moderate
10245,Peru,Santiago De Cao,44,Good,0,0,22,1,0,0,44,Good
10246,Brazil,Sao Francisco De Assis,19,Good,0,0,19,0,0,0,8,Good
10247,Brazil,Sao Luis De Montes Belos,27,Good,1,0,27,1,0,0,21,Good
10248,Brazil,Sao Luis,30,Good,0,0,19,0,0,0,30,Good
10249,Brazil,Sao Pedro Da Aldeia,29,Good,0,0,29,1,0,0,28,Good
10250,Brazil,Sao Pedro Do Sul,17,Good,0,0,17,0,0,0,14,Good
10251,Pakistan,Sarai Sidhu,186,Unhealthy,5,1,42,3,13,2,186,Unhealthy
10252,Cuba,Ranchuelo,37,Good,1,0,36,2,0,0,37,Good
10253,India,Ratlam,157,Unhealthy,1,0,31,1,3,1,157,Unhealthy
10254,United States of America,Redondo Beach,90,Moderate,2,1,18,0,21,2,90,Moderate
10255,Germany,Reinheim,61,Moderate,1,0,60,3,0,0,61,Moderate
10256,Germany,Remscheid,55,Moderate,1,0,43,3,1,0,55,Moderate
10257,India,Remuna,98,Moderate,2,1,30,1,2,1,98,Moderate
10258,United States of America,Robstown,44,Good,0,0,26,1,1,0,44,Good
10259,Greece,Rodos,63,Moderate,1,0,63,3,0,0,29,Good
10260,France,Roissy En Brie,72,Moderate,1,0,45,3,1,0,72,Moderate
10261,Czechia,Rokycany,62,Moderate,1,0,49,3,0,0,62,Moderate
10262,France,Romainville,70,Moderate,1,0,46,3,1,0,70,Moderate
10263,Thailand,Ron Phibun,119,Unhealthy for Sensitive Groups,3,1,5,0,4,1,119,Unhealthy for Sensitive Groups
10264,Syrian Arab Republic,Damascus,77,Moderate,1,0,77,3,1,0,59,Moderate
10265,Tajikistan,Dangara,156,Unhealthy,1,0,19,0,0,0,156,Unhealthy
10266,United States of America,Danvers,40,Good,1,0,35,2,2,1,40,Good
10267,United Kingdom of Great Britain and Northern Ireland,Darlington,40,Good,1,0,38,2,0,0,40,Good
10268,China,Dashiqiao,74,Moderate,3,1,69,3,4,1,74,Moderate
10269,China,Dashitou,86,Moderate,2,1,40,2,1,0,86,Moderate
10270,Pakistan,Daulatpur,114,Unhealthy for Sensitive Groups,1,0,25,1,2,1,114,Unhealthy for Sensitive Groups
10271,United States of America,De Land,74,Moderate,1,0,74,3,1,0,24,Good
10272,Indonesia,Delanggu,208,Very Unhealthy,13,1,3,0,24,2,208,Very Unhealthy
10273,India,Deoria,165,Unhealthy,4,1,57,3,6,2,165,Unhealthy
10274,India,Dholka,153,Unhealthy,2,1,27,1,6,2,153,Unhealthy
10275,United States of America,Dickinson,26,Good,1,0,22,1,1,0,26,Good
10276,France,Dieppe,43,Good,1,0,36,2,0,0,43,Good
10277,Chad,Doba,69,Moderate,1,0,16,0,0,0,69,Moderate
10278,Romania,Dofteana,46,Good,1,0,44,3,0,0,46,Good
10279,India,Dohrighat,168,Unhealthy,4,1,65,3,6,2,168,Unhealthy
10280,Viet Nam,Dong Xoai,88,Moderate,2,1,13,0,5,2,88,Moderate
10281,United States of America,Dorado,117,Unhealthy for Sensitive Groups,0,0,29,1,0,0,117,Unhealthy for Sensitive Groups
10282,Niger,Dosso,69,Moderate,1,0,36,2,0,0,69,Moderate
10283,India,Dostpur,167,Unhealthy,4,1,59,3,7,2,167,Unhealthy
10284,United States of America,Duarte,102,Unhealthy for Sensitive Groups,3,1,24,1,21,2,102,Unhealthy for Sensitive Groups
10285,Guinea,Dubreka,58,Moderate,1,0,27,1,0,0,58,Moderate
10286,Syrian Arab Republic,Duma,76,Moderate,1,0,76,3,0,0,56,Moderate
10287,United States of America,Duncanville,68,Moderate,2,1,35,2,5,2,68,Moderate
10288,Switzerland,Ebikon,53,Moderate,1,0,45,3,0,0,53,Moderate
10289,United States of America,Eden,47,Good,1,0,47,3,0,0,21,Good
10290,Mexico,El Llano,147,Unhealthy for Sensitive Groups,1,0,32,2,2,1,147,Unhealthy for Sensitive Groups
10291,India,Elumalai,121,Unhealthy for Sensitive Groups,3,1,8,0,8,2,121,Unhealthy for Sensitive Groups
10292,United States of America,Elwood,58,Moderate,1,0,47,3,5,2,58,Moderate
10293,Turkey,Erbaa,42,Good,1,0,42,3,0,0,31,Good
10294,Germany,Erding,68,Moderate,1,0,64,3,0,0,68,Moderate
10295,China,Erenhot,47,Good,1,0,32,2,0,0,47,Good
10296,Guatemala,Escuintla,86,Moderate,2,1,32,2,2,1,86,Moderate
10297,Brazil,Esperantinopolis,27,Good,0,0,17,0,0,0,27,Good
10298,Brazil,Esteio,51,Moderate,1,0,18,0,1,0,51,Moderate
10299,Brazil,Estrela,14,Good,1,0,13,0,0,0,14,Good
10300,Portugal,Evora,40,Good,1,0,40,2,0,0,16,Good
10301,United States of America,Fairborn,44,Good,1,0,44,3,1,0,44,Good
10302,India,Faizabad,158,Unhealthy,4,1,48,3,7,2,158,Unhealthy
10303,Madagascar,Fandriana,57,Moderate,1,0,14,0,0,0,57,Moderate
10304,Italy,Fara In Sabina,63,Moderate,1,0,63,3,0,0,43,Good
10305,Bangladesh,Fatikchhari,71,Moderate,2,1,17,0,3,1,71,Moderate
10306,France,Fecamp,44,Good,1,0,39,2,0,0,44,Good
10307,Iran (Islamic Republic of),Fereydun Kenar,151,Unhealthy,2,1,38,2,2,1,151,Unhealthy
10308,Romania,Fetesti,51,Moderate,1,0,43,3,0,0,51,Moderate
10309,Botswana,Francistown,42,Good,1,0,29,1,0,0,42,Good
10310,United States of America,Frankfort,55,Moderate,1,0,39,2,3,1,55,Moderate
10311,United States of America,Freehold,51,Moderate,1,0,41,3,3,1,51,Moderate
10312,Germany,Friedeburg,38,Good,1,0,38,2,0,0,33,Good
10313,Germany,Gaimersheim,64,Moderate,1,0,54,3,0,0,64,Moderate
10314,India,Gangavalli,113,Unhealthy for Sensitive Groups,2,1,24,1,6,2,113,Unhealthy for Sensitive Groups
10315,India,Gariaband,151,Unhealthy,2,1,40,2,2,1,151,Unhealthy
10316,Belgium,Geraardsbergen,52,Moderate,1,0,38,2,2,1,52,Moderate
10317,Germany,Gevelsberg,54,Moderate,1,0,44,3,1,0,54,Moderate
10318,Republic of North Macedonia,Gevgelija,81,Moderate,1,0,47,3,0,0,81,Moderate
10319,Ethiopia,Gidole,45,Good,1,0,14,0,0,0,45,Good
10320,Germany,Giengen,65,Moderate,1,0,53,3,0,0,65,Moderate
10321,United States of America,Gilroy,41,Good,1,0,29,1,3,1,41,Good
10322,Canada,Sherbrooke,23,Good,1,0,23,1,0,0,18,Good
10323,India,Shiliguri,132,Unhealthy for Sensitive Groups,4,1,29,1,6,2,132,Unhealthy for Sensitive Groups
10324,Japan,Shimoda,51,Moderate,1,0,51,3,1,0,51,Moderate
10325,United Republic of Tanzania,Shinyanga,22,Good,0,0,19,0,0,0,22,Good
10326,Iran (Islamic Republic of),Shushtar,154,Unhealthy,1,0,60,3,1,0,154,Unhealthy
10327,Ukraine,Shyroke,47,Good,1,0,42,3,0,0,47,Good
10328,Italy,Signa,73,Moderate,1,0,73,3,0,0,42,Good
10329,India,Simga,156,Unhealthy,3,1,40,2,4,1,156,Unhealthy
10330,Philippines,Siquijor,54,Moderate,1,0,24,1,0,0,54,Moderate
10331,Sweden,Skovde,38,Good,1,0,38,2,0,0,11,Good
10332,Netherlands,Someren,49,Good,1,0,39,2,1,0,49,Good
10333,United States of America,Somerville,49,Good,1,0,41,3,2,1,49,Good
10334,Honduras,Sonaguera,77,Moderate,1,0,14,0,0,0,77,Moderate
10335,India,Sonari,89,Moderate,3,1,8,0,8,2,89,Moderate
10336,India,Songadh,107,Unhealthy for Sensitive Groups,1,0,24,1,2,1,107,Unhealthy for Sensitive Groups
10337,Poland,Sopot,35,Good,1,0,35,2,0,0,25,Good
10338,El Salvador,Soyapango,76,Moderate,2,1,17,0,4,1,76,Moderate
10339,Italy,Spoleto,53,Moderate,1,0,53,3,0,0,52,Moderate
10340,Indonesia,Srono,90,Moderate,3,1,18,0,4,1,90,Moderate
10341,Russian Federation,Sterlitamak,38,Good,1,0,38,2,0,0,19,Good
10342,Czechia,Sumperk,67,Moderate,1,0,42,3,0,0,67,Moderate
10343,Russian Federation,Dalmatovo,60,Moderate,1,0,34,2,1,0,60,Moderate
10344,India,Darjiling,44,Good,1,0,37,2,0,0,44,Good
10345,United Kingdom of Great Britain and Northern Ireland,Darwen,30,Good,1,0,30,1,3,1,28,Good
10346,United States of America,Davenport,41,Good,1,0,30,1,5,2,41,Good
10347,United States of America,Deerfield Beach,74,Moderate,2,1,12,0,11,2,74,Moderate
10348,United States of America,Del City,67,Moderate,1,0,29,1,2,1,67,Moderate
10349,United States of America,Deltona,65,Moderate,1,0,18,0,12,2,65,Moderate
10350,Italy,Desenzano Del Garda,126,Unhealthy for Sensitive Groups,2,1,33,2,5,2,126,Unhealthy for Sensitive Groups
10351,Slovakia,Detva,69,Moderate,1,0,42,3,0,0,69,Moderate
10352,Germany,Diepholz,35,Good,0,0,34,2,1,0,35,Good
10353,Pakistan,Dir,59,Moderate,0,0,45,3,0,0,59,Moderate
10354,Romania,Viseu De Sus,58,Moderate,1,0,38,2,0,0,58,Moderate
10355,France,Voiron,61,Moderate,1,0,31,1,1,0,61,Moderate
10356,Poland,Wadowice,72,Moderate,1,0,38,2,2,1,72,Moderate
10357,United States of America,Waimalu,23,Good,0,0,23,1,0,0,22,Good
10358,United States of America,Wake Forest,56,Moderate,2,1,32,2,7,2,56,Moderate
10359,India,Yellapur,26,Good,1,0,26,1,0,0,21,Good
10360,Ukraine,Yevpatoriya,49,Good,1,0,49,3,0,0,5,Good
10361,China,Yining,82,Moderate,1,0,45,3,0,0,82,Moderate
10362,China,Yushu,72,Moderate,2,1,58,3,1,0,72,Moderate
10363,Serbia,Zajecar,63,Moderate,1,0,37,2,1,0,63,Moderate
10364,Russian Federation,Zayukovo,42,Good,1,0,42,3,0,0,33,Good
10365,Germany,Zeulenroda,61,Moderate,1,0,38,2,2,1,61,Moderate
10366,China,Zhuzhou,80,Moderate,3,1,32,2,7,2,80,Moderate
10367,Belgium,Zonnebeke,40,Good,1,0,38,2,2,1,40,Good
10368,Netherlands,Zundert,44,Good,1,0,30,1,5,2,44,Good
10369,New Zealand,Wellington,24,Good,0,0,24,1,2,1,17,Good
10370,Germany,Welver,70,Moderate,2,1,25,1,10,2,70,Moderate
10371,Germany,Wendelstein,59,Moderate,1,0,38,2,2,1,59,Moderate
10372,United States of America,West Milford,65,Moderate,2,1,21,0,12,2,65,Moderate
10373,United States of America,West New York,73,Moderate,2,1,19,0,19,2,73,Moderate
10374,New Zealand,Whangarei,22,Good,0,0,22,1,1,0,21,Good
10375,United States of America,Willoughby,88,Moderate,2,1,6,0,28,2,88,Moderate
10376,Netherlands,Winschoten,41,Good,1,0,30,1,4,1,41,Good
10377,China,Wuan,185,Unhealthy,4,1,61,3,11,2,185,Unhealthy
10378,China,Wuxi,176,Unhealthy,5,1,34,2,23,2,176,Unhealthy
10379,Brazil,Xique Xique,26,Good,0,0,14,0,0,0,26,Good
10380,India,Yamunanagar,157,Unhealthy,3,1,134,3,1,0,157,Unhealthy
10381,Cuba,Yara,77,Moderate,1,0,19,0,3,1,77,Moderate
10382,China,Dongsheng,138,Unhealthy for Sensitive Groups,1,0,52,3,0,0,138,Unhealthy for Sensitive Groups
10383,China,Dongzhen,64,Moderate,1,0,26,1,4,1,64,Moderate
10384,Russian Federation,Dudinka,46,Good,1,0,21,0,0,0,46,Good
10385,Germany,Dulmen,41,Good,0,0,32,2,2,1,41,Good
10386,Philippines,Dumaguete,89,Moderate,1,0,15,0,0,0,89,Moderate
10387,India,Dundwaraganj,184,Unhealthy,3,1,147,3,5,2,184,Unhealthy
10388,Germany,Durmersheim,59,Moderate,1,0,27,1,3,1,59,Moderate
10389,China,Duyun,62,Moderate,2,1,42,3,1,0,62,Moderate
10391,United States of America,East Bethel,53,Moderate,1,0,34,2,8,2,53,Moderate
10392,India,Egra,163,Unhealthy,2,1,87,3,1,0,163,Unhealthy
10393,Panama,El Coco,76,Moderate,2,1,18,0,7,2,76,Moderate
10394,Colombia,El Doncello,51,Moderate,2,1,0,0,2,1,51,Moderate
10395,United States of America,El Dorado,79,Moderate,1,0,26,1,3,1,79,Moderate
10396,Poland,Elblag,33,Good,0,0,32,2,0,0,33,Good
10397,Netherlands,Elburg,34,Good,0,0,34,2,1,0,34,Good
10398,United Kingdom of Great Britain and Northern Ireland,Ellesmere Port,47,Good,1,0,28,1,5,2,47,Good
10399,South Africa,Elliot,27,Good,1,0,16,0,1,0,27,Good
10400,Turkey,Emet,39,Good,1,0,39,2,0,0,25,Good
10401,Mexico,Emiliano Zapata,162,Unhealthy,5,1,0,0,15,2,162,Unhealthy
10402,Germany,Emmendingen,71,Moderate,1,0,23,1,5,2,71,Moderate
10403,Brazil,Extremoz,29,Good,0,0,23,1,1,0,29,Good
10404,United States of America,Fairhaven,26,Good,1,0,26,1,5,2,23,Good
10405,United States of America,Fairview Park,45,Good,1,0,45,3,4,1,32,Good
10406,Germany,Feldkirchen Westerham,69,Moderate,1,0,35,2,2,1,69,Moderate
10407,China,Fengshan,126,Unhealthy for Sensitive Groups,2,1,126,3,2,1,89,Moderate
10408,Germany,Feuchtwangen,55,Moderate,1,0,29,1,3,1,55,Moderate
10409,Italy,Fisciano,44,Good,1,0,44,3,2,1,43,Good
10410,France,Fontenay Le Comte,30,Good,1,0,30,1,2,1,27,Good
10411,Guinea,Forecariah,65,Moderate,2,1,19,0,1,0,65,Moderate
10412,Philippines,Mariveles,42,Good,0,0,27,1,0,0,42,Good
10413,Germany,Markgroningen,40,Good,1,0,25,1,3,1,40,Good
10414,United States of America,Marrero,40,Good,1,0,19,0,6,2,40,Good
10415,Syrian Arab Republic,Masyaf,68,Moderate,1,0,47,3,2,1,68,Moderate
10416,Uzbekistan,Matcha,128,Unhealthy for Sensitive Groups,1,0,71,3,0,0,128,Unhealthy for Sensitive Groups
10417,India,Maur,500,Hazardous,1,0,62,3,1,0,433,Hazardous
10419,Belgium,Meise,34,Good,0,0,28,1,3,1,34,Good
10420,United States of America,Merritt Island,48,Good,1,0,26,1,5,2,48,Good
10421,Croatia,Metkovic,68,Moderate,1,0,46,3,0,0,68,Moderate
10422,Iran (Islamic Republic of),Meybod,167,Unhealthy,1,0,43,3,0,0,167,Unhealthy
10423,France,Miramas,52,Moderate,1,0,30,1,2,1,52,Moderate
10424,Netherlands,Moerdijk,33,Good,0,0,33,2,1,0,27,Good
10425,India,Mon,25,Good,1,0,17,0,0,0,25,Good
10426,Malawi,Monkey Bay,55,Moderate,1,0,20,0,0,0,55,Moderate
10427,Brazil,Monte Santo De Minas,61,Moderate,1,0,6,0,5,2,61,Moderate
10428,India,Morena,196,Unhealthy,1,0,43,3,0,0,196,Unhealthy
10430,Thailand,Mukdahan,61,Moderate,0,0,30,1,0,0,61,Moderate
10431,India,Mundi,140,Unhealthy for Sensitive Groups,0,0,34,2,0,0,140,Unhealthy for Sensitive Groups
10432,Russian Federation,Murmansk,31,Good,1,0,31,1,0,0,9,Good
10433,Australia,Muswellbrook,22,Good,0,0,22,1,3,1,9,Good
10434,Pakistan,Muzaffarabad,80,Moderate,1,0,80,3,0,0,60,Moderate
10435,India,Muzaffarnagar,307,Hazardous,4,1,199,3,4,1,307,Hazardous
10436,Ukraine,Mykhaylivka,38,Good,1,0,38,2,0,0,28,Good
10437,India,Nagina,196,Unhealthy,4,1,196,3,3,1,191,Unhealthy
10438,Thailand,Nakhon Phanom,59,Moderate,0,0,28,1,0,0,59,Moderate
10439,Bangladesh,Nalchiti,170,Unhealthy,2,1,35,2,3,1,170,Unhealthy
10440,United States of America,Nantucket,39,Good,1,0,39,2,0,0,25,Good
10441,Germany,Lahr,46,Good,1,0,24,1,3,1,46,Good
10442,United States of America,Lake Grove,53,Moderate,1,0,25,1,13,2,53,Moderate
10443,United States of America,Lake In The Hills,77,Moderate,2,1,5,0,22,2,77,Moderate
10444,India,Lakhnau,457,Hazardous,1,0,67,3,1,0,370,Hazardous
10445,India,Lalganj,204,Very Unhealthy,4,1,173,3,2,1,204,Very Unhealthy
10446,Bangladesh,Lalmanir Hat,108,Unhealthy for Sensitive Groups,3,1,90,3,1,0,108,Unhealthy for Sensitive Groups
10447,Italy,Lanciano,64,Moderate,1,0,41,3,3,1,64,Moderate
10448,Italy,Lariano,48,Good,1,0,48,3,1,0,35,Good
10449,Australia,Launceston,29,Good,0,0,29,1,0,0,12,Good
10450,United States of America,Laurel,54,Moderate,1,0,31,1,6,2,54,Moderate
10451,France,Le Pre Saint Gervais,39,Good,1,0,26,1,3,1,39,Good
10452,Andorra,Les Escaldes,29,Good,0,0,29,1,0,0,22,Good
10453,United States of America,Lincolnwood,92,Moderate,3,1,5,0,30,2,92,Moderate
10454,China,Linshu,159,Unhealthy,3,1,159,3,2,1,88,Moderate
10455,China,Liusha,155,Unhealthy,4,1,89,3,9,2,155,Unhealthy
10456,Malawi,Liwonde,64,Moderate,1,0,20,0,0,0,64,Moderate
10457,Spain,Logrono,34,Good,0,0,34,2,0,0,30,Good
10458,United Kingdom of Great Britain and Northern Ireland,Long Eaton,51,Moderate,1,0,13,0,10,2,51,Moderate
10459,Spain,Lora Del Rio,22,Good,1,0,19,0,3,1,22,Good
10460,Angola,Luanda,164,Unhealthy,8,1,7,0,11,2,164,Unhealthy
